[german-vpd] rank0 sweep 9600/61760 (1742s, 77,729,696 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9664/61760 (1754s, 78,247,840 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9728/61760 (1765s, 78,765,984 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9792/61760 (1776s, 79,284,128 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9856/61760 (1788s, 79,802,272 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9920/61760 (1800s, 80,320,416 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9984/61760 (1811s, 80,838,560 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 10048/61760 (1823s, 81,356,704 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 10112/61760 (1834s, 81,874,848 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 10176/61760 (1846s, 82,392,992 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 10240/61760 (1857s, 82,911,136 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 10304/61760 (1869s, 83,429,280 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 10368/61760 (1880s, 83,947,424 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10432/61760 (1892s, 84,465,568 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10496/61760 (1903s, 84,983,712 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10560/61760 (1915s, 85,501,856 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10624/61760 (1926s, 86,020,000 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10688/61760 (1937s, 86,538,144 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10752/61760 (1949s, 87,056,288 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10816/61760 (1960s, 87,574,432 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10880/61760 (1972s, 88,092,576 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 10944/61760 (1983s, 88,610,720 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11008/61760 (1995s, 89,128,864 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11072/61760 (2007s, 89,647,008 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11136/61760 (2018s, 90,165,152 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11200/61760 (2030s, 90,683,296 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11264/61760 (2041s, 91,201,440 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11328/61760 (2053s, 91,719,584 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11392/61760 (2064s, 92,237,728 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11456/61760 (2076s, 92,755,872 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11520/61760 (2087s, 93,274,016 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11584/61760 (2099s, 93,792,160 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11648/61760 (2110s, 94,310,304 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11712/61760 (2122s, 94,828,448 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11776/61760 (2133s, 95,346,592 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11840/61760 (2145s, 95,864,736 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11904/61760 (2156s, 96,382,880 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 11968/61760 (2168s, 96,901,024 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 12032/61760 (2179s, 97,419,168 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 12096/61760 (2192s, 97,937,312 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 12160/61760 (2205s, 98,455,456 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 12224/61760 (2218s, 98,973,600 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 12288/61760 (2233s, 99,491,744 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 12352/61760 (2247s, 100,009,888 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 12416/61760 (2262s, 100,528,032 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 12480/61760 (2277s, 101,046,176 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 12544/61760 (2292s, 101,564,320 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12608/61760 (2305s, 102,082,464 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12672/61760 (2316s, 102,600,608 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12736/61760 (2328s, 103,118,752 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12800/61760 (2340s, 103,636,896 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12864/61760 (2351s, 104,155,040 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12928/61760 (2363s, 104,673,184 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 12992/61760 (2374s, 105,191,328 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13056/61760 (2386s, 105,709,472 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13120/61760 (2397s, 106,227,616 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13184/61760 (2409s, 106,745,760 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13248/61760 (2420s, 107,263,904 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13312/61760 (2432s, 107,782,048 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13376/61760 (2443s, 108,300,192 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13440/61760 (2454s, 108,818,336 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13504/61760 (2466s, 109,336,480 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13568/61760 (2478s, 109,854,624 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13632/61760 (2489s, 110,372,768 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13696/61760 (2501s, 110,890,912 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13760/61760 (2512s, 111,409,056 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 13824/61760 (2524s, 111,927,200 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 13888/61760 (2535s, 112,445,344 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 13952/61760 (2547s, 112,963,488 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14016/61760 (2558s, 113,481,632 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14080/61760 (2570s, 113,999,776 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14144/61760 (2581s, 114,517,920 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14208/61760 (2593s, 115,036,064 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14272/61760 (2604s, 115,554,208 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14336/61760 (2616s, 116,072,352 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14400/61760 (2627s, 116,590,496 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14464/61760 (2638s, 117,108,640 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14528/61760 (2650s, 117,626,784 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14592/61760 (2661s, 118,144,928 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14656/61760 (2673s, 118,663,072 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14720/61760 (2684s, 119,181,216 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14784/61760 (2696s, 119,699,360 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14848/61760 (2708s, 120,217,504 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14912/61760 (2719s, 120,735,648 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 14976/61760 (2731s, 121,253,792 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15040/61760 (2742s, 121,771,936 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15104/61760 (2754s, 122,290,080 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15168/61760 (2765s, 122,808,224 positions, 44.4k pos/s)
